
===== energy_monitoring.log =====
2026-08-02 11:55:46,316 | INFO | Polling cycle started at 2026-08-02T06:25:46.316131+00:00.
2026-08-02 11:55:46,413 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 11:55:46,415 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 11:55:46,417 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 11:55:46,418 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 11:55:46,441 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 11:55:46,441 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 11:55:46,442 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 11:55:46,442 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 11:55:46,442 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 11:55:46,443 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 11:55:46,444 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 11:55:46,444 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 11:55:46,452 | INFO | Polling cycle ended at 2026-08-02T06:25:46.451877+00:00 after 0.136s across 2 meter(s).
2026-08-02 11:58:46,460 | INFO | Polling cycle started at 2026-08-02T06:28:46.459998+00:00.
2026-08-02 11:58:46,524 | WARNING | Configured COM port COM5 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 11:58:46,524 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM3, COM4. Polling will keep retrying if the adapter reconnects.
2026-08-02 11:58:46,525 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 11:58:46,526 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 11:58:46,529 | ERROR | Unable to open Modbus port COM5 for slave 1.
2026-08-02 11:58:46,530 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: connection unavailable
2026-08-02 11:58:46,531 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 11:58:46,531 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 11:58:46,531 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 11:58:46,532 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 11:58:46,533 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 11:58:46,533 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 11:58:46,535 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 11:58:46,536 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 11:58:46,729 | INFO | Hourly readings aggregate refreshed 2 row(s).
2026-08-02 11:58:46,729 | INFO | Polling cycle ended at 2026-08-02T06:28:46.729496+00:00 after 0.269s across 2 meter(s).
2026-08-02 12:01:46,739 | INFO | Polling cycle started at 2026-08-02T06:31:46.738653+00:00.
