
===== energy_monitoring.log =====
2026-08-02 12:18:18,101 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:18:18,105 | INFO | Polling cycle ended at 2026-08-02T06:48:18.105147+00:00 after 4.143s across 2 meter(s).
2026-08-02 12:21:18,120 | INFO | Polling cycle started at 2026-08-02T06:51:18.120193+00:00.
2026-08-02 12:21:18,210 | WARNING | Configured COM port COM7 is not currently present on this machine. Available ports: COM1, COM3, COM4, COM5, COM6. Polling will keep retrying if the adapter reconnects.
2026-08-02 12:21:18,210 | INFO | Polling meter MTR-001 on COM5 slave 1.
2026-08-02 12:21:18,211 | INFO | Attempting Modbus connection on COM5 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:21:22,260 | WARNING | Modbus read failed for meter MTR-001 on COM5 slave 1 register 1845 count 4: Modbus Error: [Input/Output] Modbus Error: [Invalid Message] No response received, expected at least 4 bytes (0 received)
2026-08-02 12:21:22,262 | INFO | Meter MTR-001 status changed from warning to offline (no readings received).
2026-08-02 12:21:22,263 | WARNING | No readings received in this cycle for meter MTR-001.
2026-08-02 12:21:22,263 | INFO | Polling meter MTR-002 on COM7 slave 2.
2026-08-02 12:21:22,264 | INFO | Attempting Modbus connection on COM7 with 9600 baud, parity N, stop bits 1, byte size 8, timeout 2.00s.
2026-08-02 12:21:22,265 | ERROR | Unable to open Modbus port COM7 for slave 2.
2026-08-02 12:21:22,265 | WARNING | Modbus read failed for meter MTR-002 on COM7 slave 2 register 1845 count 4: connection unavailable
2026-08-02 12:21:22,265 | INFO | Meter MTR-002 status changed from warning to offline (no readings received).
2026-08-02 12:21:22,265 | WARNING | No readings received in this cycle for meter MTR-002.
2026-08-02 12:21:22,268 | INFO | Polling cycle ended at 2026-08-02T06:51:22.268677+00:00 after 4.148s across 2 meter(s).
2026-08-02 12:24:22,280 | INFO | Polling cycle started at 2026-08-02T06:54:22.280379+00:00.
